RiverID,Name
2,"Beaver River"
3,"Blaeberry River"
4,"Bluewater Creek"
5,"Bush River"
6,"Canoe River"
7,"Chelan River"
8,"Clatskanie River"
9,"Columbia River"
10,"Colville River"
11,"Cowlitz River"
12,"Cummins River"
13,"Deschutes River"
14,"Downie Creek"
15,"Elochoman River"
16,"Entiat River"
17,"Forster Creek"
18,"Gold River"
19,"Goldstream River"
20,"Grays River"
21,"Halfway River"
22,"Hood River"
23,"Illecillewaet River"
24,"Incomappleux River"
25,"John Day River"
26,"John Day River 2"
27,"Jordan River"
28,"Kalama River"
29,"Kettle River"
30,"Kicking Horse River"
31,"Kinbasket River"
32,"Klickitat River"
33,"Kootenay River"
34,"Kuskanax Creek"
35,"Lake River"
36,"Lewis River"
37,"Little White Salmon River"
38,"Lower Crab Creek"
39,"Methow River"
40,"Nespelem River"
41,"Okanogan River"
42,"Pend Oreille River"
43,"Sandy River"
44,"Sanpoil River"
45,"Snake River"
46,"Spillimacheen River"
47,"Spokane River"
48,"Sullivan River"
49,"Umatilla River"
50,"Waitabit Creek"
51,"Walla Walla River"
52,"Washougal River"
53,"Wenatchee River"
54,"Whatshan River"
55,"White Salmon River"
56,"Willamette River"
57,"Wood River"
58,"Yakima River"
59,"Youngs River"
